Adaline Marvin MD,Kovacek-Aufderhar,1-102-095-4945,Allie Champlin,1-823-963-6588,719-684-9866,2016-01-24,Lynch-Pfannerstill,Museum District,false,true,true,false,true,true
Mr. Fredy Zemlak,Medhurst and Sons,260.061.3141,Miss Louie Rodriguez,(925) 989-3975,1-611-839-0083,2015-09-30,Schmitt LLC,Texas Medical Center,false,true,true,false,false,false
Alvah McLaughlin,Lesch-Graham,1-743-723-9576,Chloe Wolff,(184) 346-1948,115.410.6297,2015-12-17,"Strosin, Prosacco and Tromp",Energy Corridor,true,false,true,false,true,false
Friedrich Batz,Mraz LLC,(817) 292-3954,Dulce Ryan I,297-960-6405,101.682.5506,2015-03-04,"Douglas, Macejkovic and Lind",Texas Medical Center,false,false,true,true,false,false
Rosamond Ebert,Welch-Champlin,843.576.7148,Rahul Hoppe,(505) 312-0734,1-568-257-6113,2015-04-14,Towne-Cassin,Southwest,true,true,true,true,false,true
Major Ratke,Heller and Sons,(718) 509-0171,Mrs. Jovan Reynolds,1-271-945-4641,349-516-5046,2015-08-10,Raynor LLC,Southeast,true,true,true,true,false,true
Jerry Botsford,"Schroeder, Walter and Beatty",1-434-745-3000,Johnnie Bruen,(426) 507-7031,(326) 872-0919,2015-03-10,Boyer-Gulgowski,Southeast,false,false,true,false,false,false
Danial Kuvalis MD,"Marks, Pollich and Daniel",658.206.4466,Camron Grant,1-755-198-4259,(449) 161-4560,2016-04-06,"Will, Satterfield and Walker",Energy Corridor,true,true,false,false,false,false
Mr. Elenora Harvey,Bogisich-Corkery,(781) 025-0300,Westley Larson,(894) 138-8538,429.401.7895,2015-03-27,Beer Group,Downtown Houston,false,true,true,true,true,false
Ryleigh Mosciski DVM,Hills Inc,570-106-2824,Dusty Windler,(661) 956-7359,931-261-2156,2015-03-02,"Marks, Dooley and Wintheiser",Energy Corridor,true,false,false,true,false,true
Rhianna Bayer Jr.,Schultz and Sons,915-015-7097,Bella Heller,185-825-8640,1-469-471-6454,2015-10-28,Effertz Group,Energy Corridor,false,false,false,false,false,false
Bert Kautzer,Parker Group,1-325-402-5008,Muriel Keeling,220-303-6318,1-657-399-1430,2015-01-19,Rau-Hickle,Museum District,true,false,true,false,false,true
Mr. Margaret Mueller,Sauer Inc,603.186.4770,Sandrine Witting,1-823-637-1458,260-317-0067,2015-01-16,"Stokes, Considine and Hudson",South Side,true,true,true,true,false,false
